South Indian | x=202.00 | y=41.50
Orange Juice | x=95.50 | y=567.50
50 | x=334.00 | y=566.00
Mixed Fruit Juice. | x=112.50 | y=591.00
50 | x=335.00 | y=591.00
Milk Badam | x=459.50 | y=587.00
60 | x=765.00 | y=586.50
90 | x=875.00 | y=586.50
Mosambi Juice | x=103.00 | y=614.00
50 | x=335.00 | y=614.00
Strawberry Milk Shake | x=507.00 | y=612.50
70 | x=763.50 | y=610.00
90 | x=874.50 | y=610.00
JAJA CHOWK, | x=1190.00 | y=607.00
Sweet Lime | x=89.00 | y=637.00
80 | x=335.00 | y=637.00
Bubblegum Milk Shake | x=506.00 | y=633.50
70 | x=764.00 | y=634.00
90 | x=875.00 | y=632.50
OPP. STATE BANK OF INDIA, | x=1191.00 | y=640.00
Masala Lassi | x=94.50 | y=662.00
40 | x=335.00 | y=661.50
Butterscotch Milk Shake | x=512.50 | y=658.00
70 | x=764.00 | y=656.00
90. | x=875.00 | y=657.00
Chocolate Milk Shake | x=500.50 | y=680.00
70 | x=764.00 | y=680.00
90. | x=875.00 | y=680.50
TANDA, PUNJAB-144024, INDIA | x=1194.00 | y=675.00
Cold Drink | x=86.00 | y=685.00
30 | x=334.00 | y=685.00
M.R.P. | x=68.50 | y=710.50
Banana Milk Shake | x=488.50 | y=704.00
70 | x=765.00 | y=703.50
90 | x=875.00 | y=703.50
Mango Milk Shake | x=487.00 | y=727.00
70 | x=765.00 | y=726.50
90 | x=875.00 | y=727.00
Mocktails | x=161.50 | y=758.00
Cold Coffee Frappe | x=489.50 | y=751.00
70 | x=763.00 | y=750.50
90 | x=875.00 | y=750.50
Frappe Choco | x=465.50 | y=774.50
70. | x=765.00 | y=773.00
90. | x=875.00 | y=773.00
Mint Mojito | x=92.00 | y=787.50
70 | x=332.50 | y=788.00
Follow & Like us on | x=1200.00 | y=784.50
Frappe Caramel | x=474.00 | y=796.00
70 | x=764.00 | y=796.00
90 | x=875.00 | y=797.00
Blue Curacao | x=96.50 | y=811.50
70 | x=331.00 | y=810.00
Blue Ice Tea | x=93.00 | y=836.00
70 | x=332.00 | y=834.50
Mahesh_Sweets.Tanda | x=1221.50 | y=844.00
Spicy Mango Punch | x=120.50 | y=858.00
70 | x=332.00 | y=857.50
Delectable Deserts | x=604.00 | y=873.00
Guava Punch | x=96.00 | y=882.50
70 | x=332.00 | y=882.50
Split Guava Punch | x=118.00 | y=904.00
70 | x=332.00 | y=905.50
Moongdal.Halwa/Per Plate60 | x=512.00 | y=907.00
Rasmalai Plate | x=725.00 | y=906.50
50 | x=906.50 | y=907.00
Mahesh_Sweets.Tanda | x=1222.50 | y=905.50
Coconut.Burf. | x=449.50 | y=929.50
30 | x=610.00 | y=930.00
Rasmalai Glass [(Angoori)! | x=759.50 | y=932.00
40 | x=906.50 | y=931.00
Cheema Malat Roll. | x=463.50 | y=952.00
35. | x=610.00 | y=953.50
Vanilla Softy Ice Cream Cone | x=771.00 | y=953.00
40 | x=906.50 | y=954.00
350Kg | x=625.00 | y=975.50
Mahesh_Sweets.Tanda | x=1223.50 | y=967.00
Jalebi' | x=422.00 | y=975.50
Butter Scotch tce Cream.Cone | x=777.00 | y=976.00
50 | x=905.50 | y=977.00
Hot GulabJamun Plate | x=476.50 | y=999.00
40 | x=611.00 | y=999.50
Vanilla Softy Cup | x=732.00 | y=1000.50
Sponge Rasgulla (2 Piece) | x=486.00 | y=1023.50
45 | x=610.00 | y=1023.00
Strawberry Softy Cup | x=746.00 | y=1023.50
Mix Flavour Softy Cup | x=750.50 | y=1047.50
